Set 1 ML/VM 7 - 10 MN/LX
,1,2,3,4,5,6,7,8,9,10,11,12
LX,,,,60,,,,,,80,,
ML,,60,70,,60,,60-,60,H,,60,
MN,,,,,,,,,,,,
VM,70-,,,,,70,,,,PN,,H5-
Set 2 MN/VM 7 - 10 LX/ML
LX,,,,,,60-,,60,,60,,
ML,,,,,60,,,,,,,
MN,,H-,70,H+1,,,70-,,,,,
VM,70-,,,,,,,,60,,,
Set 3 VM/LX 6 - 10 MN/ML
LX,,,,60,,,,,,70-,,
ML,,,,,,60,,,,,,
MN,60,60-,,,70-,,60,,,,,
VM,,,70-,,,,,70,100;PN,,,
OVERALL,SETS,STONE
LX,2,26
ML,2,27
MN,2,27
VM,0,20
NOTES
- 3.9 VM Minused on spade round w/ 4 spades.
