Set 1 ML/VM 9 - 10 MN/LX
,1,2,3,4,5,6,7,8,9,10,11,12
LX,,60,H,,,,,,,,,
ML,,,,,,,,250+1,,,,
MN,60-,,,60,,,,,H,,,
VM,,,,,100+1,70-,70-,,,,,
Set 2 MN/VM 5 - 10 LX/ML
LX,,,,,,,,,,,,
ML,,60,60,60-L,,60-,,,,,,
MN,,,,,H,,,,,,,
VM,60-,,PN,,,,70-,H-L,,,,
Set 3 VM/LX 4 - 10 MN/ML
LX,,,H-,,60,H-,,,,,,
ML,,,,,,,,,,,,
MN,H-,60,,,,,,,,,,
VM,,,,H-,,,,,,,,
OVERALL,SETS,STONE
LX,2,24
ML,2,29
MN,2,25
VM,0,18
NOTES
- 2.1: Wrong Claim VM. Punished -2
